filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes,shape,x,y,width,height,Class
1.jpg,96465,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""rect"",""x"":166,""y"":13,""width"":181,""height"":162}","{""class_name"":""hardhat""}",rect,166,13,181,162,hardhat
1.jpg,96465,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""rect"",""x"":282,""y"":106,""width"":470,""height"":413}","{""class_name"":""vest""}",rect,282,106,470,413,vest
2.jpg,60558,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,0,"{""name"":""rect"",""x"":53,""y"":12,""width"":41,""height"":24}","{""class_name"":""hardhat""}",rect,53,12,41,24,hardhat
2.jpg,60558,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,1,"{""name"":""rect"",""x"":152,""y"":27,""width"":46,""height"":27}","{""class_name"":""hardhat""}",rect,152,27,46,27,hardhat
2.jpg,60558,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,2,"{""name"":""rect"",""x"":218,""y"":31,""width"":44,""height"":25}","{""class_name"":""hardhat""}",rect,218,31,44,25,hardhat
2.jpg,60558,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,3,"{""name"":""rect"",""x"":24,""y"":52,""width"":86,""height"":103}","{""class_name"":""vest""}",rect,24,52,86,103,vest
2.jpg,60558,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,4,"{""name"":""rect"",""x"":135,""y"":62,""width"":68,""height"":122}","{""class_name"":""vest""}",rect,135,62,68,122,vest
2.jpg,60558,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,5,"{""name"":""rect"",""x"":208,""y"":64,""width"":80,""height"":100}","{""class_name"":""vest""}",rect,208,64,80,100,vest
2.jpg,60558,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,6,"{""name"":""rect"",""x"":50,""y"":249,""width"":61,""height"":27}","{""class_name"":""boots""}",rect,50,249,61,27,boots
2.jpg,60558,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,7,"{""name"":""rect"",""x"":152,""y"":251,""width"":43,""height"":25}","{""class_name"":""boots""}",rect,152,251,43,25,boots
2.jpg,60558,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,8,"{""name"":""rect"",""x"":173,""y"":240,""width"":30,""height"":20}","{""class_name"":""boots""}",rect,173,240,30,20,boots
2.jpg,60558,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",10,9,"{""name"":""rect"",""x"":234,""y"":253,""width"":43,""height"":26}","{""class_name"":""boots""}",rect,234,253,43,26,boots
3.jpg,61320,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",8,0,"{""name"":""rect"",""x"":29,""y"":24,""width"":46,""height"":31}","{""class_name"":""hardhat""}",rect,29,24,46,31,hardhat
3.jpg,61320,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",8,1,"{""name"":""rect"",""x"":131,""y"":29,""width"":39,""height"":33}","{""class_name"":""hardhat""}",rect,131,29,39,33,hardhat
3.jpg,61320,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",8,2,"{""name"":""rect"",""x"":248,""y"":29,""width"":32,""height"":31}","{""class_name"":""hardhat""}",rect,248,29,32,31,hardhat
3.jpg,61320,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",8,3,"{""name"":""rect"",""x"":7,""y"":59,""width"":82,""height"":102}","{""class_name"":""vest""}",rect,7,59,82,102,vest
3.jpg,61320,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",8,4,"{""name"":""rect"",""x"":110,""y"":74,""width"":81,""height"":96}","{""class_name"":""vest""}",rect,110,74,81,96,vest
3.jpg,61320,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",8,5,"{""name"":""rect"",""x"":234,""y"":76,""width"":63,""height"":104}","{""class_name"":""vest""}",rect,234,76,63,104,vest
3.jpg,61320,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",8,6,"{""name"":""rect"",""x"":18,""y"":264,""width"":50,""height"":29}","{""class_name"":""boots""}",rect,18,264,50,29,boots
3.jpg,61320,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",8,7,"{""name"":""rect"",""x"":229,""y"":246,""width"":62,""height"":25}","{""class_name"":""boots""}",rect,229,246,62,25,boots
4.jpg,105603,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,0,"{""name"":""rect"",""x"":116,""y"":17,""width"":292,""height"":180}","{""class_name"":""hardhat""}",rect,116,17,292,180,hardhat
4.jpg,105603,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",2,1,"{""name"":""rect"",""x"":30,""y"":380,""width"":499,""height"":245}","{""class_name"":""vest""}",rect,30,380,499,245,vest
5.jpg,15413,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,0,"{""name"":""rect"",""x"":137,""y"":1,""width"":51,""height"":26}","{""class_name"":""hardhat""}",rect,137,1,51,26,hardhat
5.jpg,15413,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,1,"{""name"":""rect"",""x"":214,""y"":4,""width"":51,""height"":28}","{""class_name"":""hardhat""}",rect,214,4,51,28,hardhat
5.jpg,15413,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,2,"{""name"":""rect"",""x"":198,""y"":42,""width"":64,""height"":73}","{""class_name"":""vest""}",rect,198,42,64,73,vest
5.jpg,15413,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",4,3,"{""name"":""rect"",""x"":113,""y"":35,""width"":68,""height"":81}","{""class_name"":""vest""}",rect,113,35,68,81,vest
6.jpg,195241,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",15,0,"{""name"":""rect"",""x"":71,""y"":133,""width"":108,""height"":56}","{""class_name"":""hardhat""}",rect,71,133,108,56,hardhat
6.jpg,195241,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",15,1,"{""name"":""rect"",""x"":273,""y"":115,""width"":96,""height"":62}","{""class_name"":""hardhat""}",rect,273,115,96,62,hardhat
